Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	James Kei	2	1	179.63	0	2	54.60	0	0	0.00
Printings Artists	David Ho	0	1	12.95	1	0	78.80	1	0	75.39
Printings Artists	Pat Lee	6	5	542.05	1	5	249.57	1	0	62.53
Printings Artists	Steve Prescott	94	67	8810.32	49	46	5035.42	23	26	2343.82
Printings Artists	Paolo “That's Actually Me” Parente	0	1	22.86	0	0	0.00	0	0	0.00
Printings Artists	Daniel Ljunggren	56	47	5560.69	36	20	3182.58	21	15	2049.22
Printings Artists	John Coulthart	7	16	898.81	1	6	257.00	1	0	91.19
Printings Artists	Jung Park	32	17	2906.17	23	9	2020.17	12	11	1229.88
Printings Artists	Noah Bradley	41	11	3262.56	30	11	2492.05	21	9	1772.29
Printings Artists	Matt “I'm Your Boy” Cavotta	0	1	32.29	0	0	0.00	0	0	0.00
Printings Artists	Anthony Jones	2	2	207.62	2	0	164.58	2	0	172.26
Printings Artists	Brad Rigney	16	8	1486.32	14	2	1038.30	10	4	815.22
Printings Artists	Omaha Perez	0	1	23.77	0	0	0.00	0	0	0.00
Printings Artists	Ben Maier	3	7	314.14	0	3	78.75	0	0	0.00
Printings Artists	Stephen Daniele	10	17	1321.44	9	3	789.09	8	1	581.73
Printings Artists	Sun Nan	1	2	96.60	1	0	66.71	0	1	33.54
Printings Artists	Wayne England	51	59	5107.01	26	25	2451.31	11	15	1238.26
Printings Artists	David Day	3	3	341.78	3	0	197.04	1	2	154.96
Printings Artists	Randy Gallegos	63	82	6681.32	30	33	2954.09	15	15	1400.59
Printings Artists	Magali Villeneuve	29	14	2622.11	15	14	1491.73	12	3	919.06
Printings Artists	Solomon Au Yeung	2	1	150.93	0	2	34.02	0	0	0.00
Printings Artists	Brian Horton	2	2	196.24	1	1	94.46	1	0	58.03
Printings Artists	Martin McKenna	1	4	172.70	0	1	26.43	0	0	0.00
Printings Artists	Scott Murphy	9	11	1016.32	6	3	521.22	5	1	323.36
Printings Artists	Edward P. Beard, Jr.	50	67	5138.85	26	24	2478.88	15	11	1382.49
Printings Artists	Andi Rusu	4	10	548.86	1	3	174.19	0	1	29.27
Printings Artists	Yang Guangmai	2	1	148.82	0	2	27.00	0	0	0.00
Printings Artists	Julie Baroh	6	17	890.34	5	2	440.16	2	3	253.89
Printings Artists	Clyde Caldwell	3	3	325.22	2	1	162.64	1	1	62.94
Printings Artists	Jason Kang	4	7	448.23	2	2	208.78	1	1	127.52
Printings Artists	Qu Xin	1	5	197.54	1	0	50.23	0	1	38.24
Printings Artists	Charles Gillespie	8	11	889.27	5	3	431.22	2	3	247.90
Printings Artists	Jeremy Enecio	5	0	348.73	4	1	287.58	3	1	251.32
Printings Artists	Nelson DeCastro	4	11	569.64	1	3	152.23	1	0	71.92
